선수 연봉,,,,
선수,연도,팀,연봉(만원),WAR
이대호,2018,롯데,"250,000",-0.229
양현종,2018,KIA,"230,000",0.126
헥터,2018,KIA,"170,000",0.104
김태균,2018,한화,"160,000",0.053
손아섭,2018,롯데,"150,000",0.009
박병호,2018,넥센,"150,000",0.803
최형우,2018,KIA,"150,000",0.247
러프,2018,삼성,"140,000",0.622
김광현,2018,SK,"140,000",0.772
김현수,2018,LG,"140,000",0.22
켈리,2018,SK,"140,000",-0.038
린드블럼,2018,두산,"135,000",0.151
로저스,2018,넥센,"125,000",0.026
윤석민,2018,KIA,"125,000",
정우람,2018,한화,"120,000",0.022
황재균,2018,kt,"120,000",0.348
소사,2018,LG,"120,000",0.122
최정,2018,SK,"120,000",0.46
레일리,2018,롯데,"111,000",0.392
차우찬,2018,LG,"100,000",0.001
장원준,2018,두산,"100,000",-0.374
민병헌,2018,롯데,"100,000",0.185
강민호,2018,삼성,"100,000",0.217
아델만,2018,삼성,"95,000",0.248
듀브론트,2018,롯데,"90,000",-0.213
산체스,2018,SK,"85,000",0.622
피어밴드,2018,kt,"85,000",0.301
윤성환,2018,삼성,"80,000",0.085
박용택,2018,LG,"80,000",0.394
로하스,2018,kt,"80,000",0.447
윌슨,2018,LG,"80,000",0.409
가르시아,2018,LG,"80,000",0.243
박석민,2018,NC,"75,000",0.146
버나디나,2018,KIA,"75,000",0.535
번즈,2018,롯데,"73,000",0.053
파레디스,2018,두산,"70,000",-0.077
보니야,2018,삼성,"70,000",-0.393
스크럭스,2018,NC,"70,000",0.184
후랭코프,2018,두산,"70,000",0.417
팻딘,2018,KIA,"70,000",0.266
우규민,2018,삼성,"70,000",
정근우,2018,한화,"70,000",-0.369
손승락,2018,롯데,"70,000",-0.593
브리검,2018,넥센,"65,000",0.148
김재호,2018,두산,"65,000",-0.202
이범호,2018,KIA,"65,000",0.17
이동현,2018,LG,"60,000",-0.154
유한준,2018,kt,"60,000",0.289
양의지,2018,두산,"60,000",0.817
김강민,2018,SK,"60,000",-0.033
초이스,2018,넥센,"60,000",-0.169
나지완,2018,KIA,"60,000",-0.078
오재원,2018,두산,"55,000",0.256
이택근,2018,넥센,"50,000",
유희관,2018,두산,"50,000",0.006
왕웨이중,2018,NC,"50,000",0.606
니퍼트,2018,kt,"50,000",
정상호,2018,LG,"50,000",-0.048
임창용,2018,KIA,"50,000",0.189
배영수,2018,한화,"50,000",0.238
윤길현,2018,롯데,"50,000",
로맥,2018,SK,"50,000",0.624
손시헌,2018,NC,"50,000",0.188
휠러,2018,한화,"47,500",0.041
김재환,2018,두산,"47,000",-0.159
송은범,2018,한화,"45,000",0.484
권혁,2018,한화,"45,000",
나성범,2018,NC,"43,000",0.016
조동찬,2018,삼성,"40,000",-0.165
샘슨,2018,한화,"40,000",-0.541
박정권,2018,SK,"40,000",
이현승,2018,두산,"40,000",0.052
김주찬,2018,KIA,"40,000",0.312
이진영,2018,kt,"40,000",-0.117
이용규,2018,한화,"40,000",0.03
송승준,2018,롯데,"40,000",-0.007
호잉,2018,한화,"40,000",0.779
서건창,2018,넥센,"38,000",0.086
박건우,2018,두산,"37,000",0.157
이재원,2018,SK,"35,000",0.244
안영명,2018,한화,"35,000",
김민성,2018,넥센,"35,000",0.407
봉중근,2018,LG,"35,000",
김하성,2018,넥센,"32,000",-0.209
안치홍,2018,KIA,"32,000",0.406
박민우,2018,NC,"32,000",0.066
윤석민,2018,kt,"31,000",0.033
이원석,2018,삼성,"30,000",0.628
나주환,2018,SK,"30,000",-0.083
채병용,2018,SK,"30,000",
정의윤,2018,SK,"30,000",-0.335
오재일,2018,두산,"30,000",-0.033
조동화,2018,SK,"30,000",
김세현,2018,KIA,"29,000",0.095
류제국,2018,LG,"29,000",
오지환,2018,LG,"29,000",0.363
박해민,2018,삼성,"29,000",-0.04
김선빈,2018,KIA,"28,000",0.065
전준우,2018,롯데,"27,000",-0.369
허경민,2018,두산,"26,500",0.23
